,SS siCtrl set 1,SS siCtrl set 2,SS siCtrl set 3,SS siCtrl set 4,SS siChchd10 set 1,SS siChchd10 set 2,SS siChchd10 set 3,SS siChchd10 set 4,AA siCtrl set 1,AA siCtrl set 2,AA siCtrl set 3,AA siCtrl set 4,AA siChchd10 set 1,AA siChchd10 set 2,AA siChchd10 set 3,AA siChchd10 set 4
TrnP,412,513,512,457,395,420,423,463,552,473,489,471,474,539,430,657
TrnT,17,21,25,17,20,21,28,27,30,35,28,35,36,29,22,30
CYTB,115653,152656,148946,119383,157737,184033,185403,149675,175743,149343,169290,167433,209422,219667,151035,258959
TrnE,93,102,111,104,193,226,211,233,308,247,272,262,724,801,499,880
ND6,11548,14309,14086,11883,13921,16165,16695,14083,18913,16518,17548,17027,29249,30810,21075,34589
ND5,46212,60071,60565,48391,58075,67776,69408,57734,73692,67666,70896,69970,116213,122797,82986,133902
TrnL2,379,485,497,353,461,508,571,391,519,505,504,463,607,646,475,791
TrnS2,105,159,145,132,129,179,182,147,172,162,173,164,204,225,149,275
TrnH,66,80,109,61,109,90,104,90,123,124,103,117,150,143,80,180
ND4,34695,45562,44896,36645,47058,54828,54934,44357,50594,43007,43961,46297,69246,69770,44659,81076
ND4L,35,40,32,36,33,42,52,35,22,19,25,22,29,32,16,25
TrnR,46,111,65,65,76,68,71,53,3,2,1,0,0,0,0,2
ND3,568,820,801,569,668,907,972,715,79,38,20,24,25,44,30,58
TrnG,86,111,141,122,113,176,174,119,7,0,0,0,0,0,1,0
COX3,206,319,219,223,241,225,235,214,235,221,223,196,173,238,195,319
ATP6,224,323,259,222,229,201,267,210,315,214,229,181,189,188,176,306
ATP8,30,58,37,39,42,37,56,42,60,52,35,56,27,42,30,71
TrnK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COX2,236,362,246,246,227,262,236,189,249,228,183,232,188,211,172,315
TrnS1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
COX1,329077,444165,408933,353321,355729,386731,396530,358671,380541,335092,352568,345740,358288,388783,299377,453154
TrnY,39,45,48,35,65,57,48,40,122,98,129,91,117,118,84,144
TrnC,126,184,155,174,164,125,177,178,289,283,278,264,251,316,177,372
TrnN,179,282,263,235,199,212,271,210,440,403,406,374,363,412,362,488
TrnA,36,45,57,39,70,63,86,74,110,123,99,103,89,74,66,95
TrnW,30,28,43,35,45,46,47,62,89,90,81,76,50,63,42,66
ND2,60101,76018,73798,62336,76546,89454,88355,78830,69373,57161,58146,58642,90856,97949,74532,124341
TrnM,17,28,43,8,28,52,35,25,23,37,32,37,60,42,43,35
