,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Nlrc4,709.074921,0.779048527,0.04531452,17.19202873,3.05E-66,7.07E-62
Aldh1a1,6999.816094,0.891623542,0.055214661,16.14831154,1.17E-58,1.35E-54
Ganab,20497.14912,-0.391343457,0.024553878,-15.93815287,3.44E-57,2.66E-53
Tmem184a,269.904182,2.265017568,0.144658961,15.65763747,2.95E-55,1.71E-51
Plgrkt,2772.823626,0.861527178,0.058572479,14.70873688,5.67E-49,2.63E-45
Marveld3,299.1310268,1.051766636,0.07839062,13.41699595,4.81E-41,1.86E-37
Fut2,562.6373593,1.469523793,0.117264423,12.53171047,5.01E-36,1.66E-32
Bphl,1503.976153,0.767546567,0.063887442,12.01404443,3.00E-33,8.70E-30
Impg2,89.24553845,1.433083863,0.11959629,11.98267825,4.38E-33,1.13E-29
Idh1,8521.607667,0.495452171,0.041446672,11.95396761,6.19E-33,1.44E-29
Pglyrp1,64.40181131,1.645971463,0.138251252,11.90565325,1.11E-32,2.33E-29
Gm20559,547.6119095,-1.303990936,0.110782396,-11.77074144,5.52E-32,1.07E-28
Gmcl1,2667.169624,0.419994799,0.035758629,11.74527143,7.47E-32,1.33E-28
Dag1,9479.229246,-0.623193856,0.053678188,-11.60981555,3.67E-31,6.09E-28
Prr15l,404.2946632,1.38646741,0.120166421,11.5378939,8.50E-31,1.31E-27
Lgals4,2888.749069,1.592810944,0.145899067,10.91721134,9.54E-28,1.38E-24
Pam,19759.11891,0.460853963,0.04242343,10.8631943,1.73E-27,2.36E-24
Glce,1245.343537,-0.587530165,0.055399972,-10.60524297,2.82E-26,3.58E-23
Zc2hc1a,3021.626443,-0.456397067,0.043049843,-10.60159657,2.93E-26,3.58E-23
Smim13,917.8517776,-0.836721809,0.080126044,-10.4425698,1.58E-25,1.84E-22
Clca3a1,2070.49908,-0.909810843,0.087180901,-10.4358963,1.70E-25,1.88E-22
Clec2d,239.8379023,0.903277293,0.086623104,10.42767175,1.85E-25,1.96E-22
Lbp,2641.128392,1.332557066,0.12816549,10.39715966,2.55E-25,2.50E-22
Rnf44,10903.37964,-0.308664112,0.029690782,-10.39595764,2.59E-25,2.50E-22
Csf1,12188.02483,-0.60150605,0.058158248,-10.34257507,4.52E-25,4.20E-22
Ifit1,762.7629638,-1.425330397,0.142047977,-10.03414781,1.08E-23,9.63E-21
