"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Nlrc4",709.074920976691,0.779048527467207,0.0453145198816425,17.1920287250535,3.04681847584123e-66,7.0716656824275e-62
"Aldh1a1",6999.81609350831,0.891623541637351,0.0552146606407149,16.1483115406468,1.16712913097639e-58,1.3544533564981e-54
"Ganab",20497.1491166721,-0.39134345656324,0.0245538777144879,-15.9381528699367,3.44383644155218e-57,2.66438146028087e-53
"Tmem184a",269.904181983076,2.26501756759551,0.144658960922788,15.657637474698,2.94640605424966e-55,1.70965211297836e-51
"Plgrkt",2772.82362580429,0.861527178419348,0.0585724787508707,14.7087368810824,5.6655062214452e-49,2.62992798799486e-45
"Marveld3",299.13102676866,1.05176663637878,0.0783906203980427,13.4169959497482,4.80811487189269e-41,1.85993910294382e-37
"Fut2",562.637359286404,1.46952379311066,0.117264422670573,12.53171046805,5.00709930723614e-36,1.6602110702993e-32
"Bphl",1503.97615332268,0.767546566988229,0.06388744201837,12.0140444309467,2.99815308125e-33,8.69839162697655e-30
"Impg2",89.2455384480126,1.4330838628405,0.119596289982058,11.9826782507676,4.37942883138309e-33,1.12940603529335e-29
"Idh1",8521.60766727548,0.49545217136841,0.0414466717154538,11.9539676133675,6.18980136652289e-33,1.43665289716996e-29
"Pglyrp1",64.401811312874,1.6459714626053,0.138251251564863,11.9056532506909,1.10593814154629e-32,2.33352947866268e-29
"Gm20559",547.611909489982,-1.3039909360807,0.11078239574207,-11.7707414372653,5.52368907427117e-32,1.06837352844861e-28
"Gmcl1",2667.16962431555,0.419994799053513,0.035758628621656,11.7452714279752,7.46823285309929e-32,1.33336680400334e-28
"Dag1",9479.2292456875,-0.623193856301705,0.0536781875113072,-11.6098155544173,3.67407268347013e-31,6.09108764166727e-28
"Prr15l",404.294663152203,1.38646740958743,0.120166420504631,11.5378938955246,8.49804615509444e-31,1.31493100839828e-27
"Lgals4",2888.74906895707,1.59281094433721,0.145899066565524,10.9172113422801,9.53794230260902e-28,1.38359775527222e-24
"Pam",19759.1189056901,0.460853962723647,0.0424234299770854,10.8631943002387,1.72603877204328e-27,2.35655058230144e-24
"Glce",1245.3435371579,-0.587530164582033,0.0553999721073037,-10.6052429673439,2.81730759534186e-26,3.57844467659646e-23
"Zc2hc1a",3021.62644333403,-0.456397067100082,0.0430498429381495,-10.6015965669328,2.92936014025561e-26,3.57844467659646e-23
"Smim13",917.851777645821,-0.836721808526993,0.0801260441103447,-10.4425698013334,1.58461933227341e-25,1.83895073510329e-22
"Clca3a1",2070.49908027904,-0.909810842839927,0.087180901045798,-10.4358963021268,1.70001736646251e-25,1.87892395598071e-22
"Clec2d",239.837902293473,0.903277293184266,0.0866231038491798,10.4276717532192,1.85374836262528e-25,1.95570452256967e-22
